DroneID,Brand,Category,SubCategory,DroneType,BuildLevel,FrameSize_Inch,Wheelbase_mm,MotorSize,PropellerSize,BatterySpec,FlightController,Firmware,PayloadSupport,MaxTakeoffWeight_kg,IntendedUse,Notes
DRN-0029,Custom,Kits & RTF,VTOL RTF,Mapping VTOL,RTF,Custom,1100,Proprietary,Fixed Wing,Smart Battery,Autopilot,ArduPilot,Gimbal Camera,5,VTOL Mapping,Long range VTOL
DRN-0030,Custom,Kits & RTF,VTOL Kit,Mapping VTOL,Kit,Custom,1200,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,Gimbal Camera,6,VTOL Mapping,VTOL DIY kit
DRN-0031,Custom,Kits & RTF,Fixed Wing RTF,Survey Wing,RTF,Custom,1200,Proprietary,Fixed Wing,Li-ion,Autopilot,ArduPilot,None,2.5,Survey UAV,Foam wing RTF
DRN-0032,RMRC,Kits & RTF,Fixed Wing Kit,Long Range Wing,Kit,Custom,1500,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,3,Long Range UAV,Wing kit
DRN-0033,Zeta,Kits & RTF,Fixed Wing RTF,FPV Wing,RTF,Custom,700,Proprietary,Fixed Wing,Li-ion,Autopilot,INAV,None,1.2,FPV Wing,FPV flying wing
DRN-0034,AtomRC,Kits & RTF,Fixed Wing Kit,Survey Wing,Kit,Custom,1300,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,3.5,Survey UAV,Survey wing kit
DRN-0035,Custom,Kits & RTF,Delivery RTF,Cargo UAV,RTF,Custom,1400,Proprietary,Custom,Smart Battery,Autopilot,Custom,Cargo Box,10,Delivery UAV,Autonomous delivery
DRN-0036,Custom,Kits & RTF,Delivery Kit,Cargo UAV,Kit,Custom,1600,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Cargo Box,12,Delivery UAV,Delivery DIY kit
DRN-0037,Custom,Kits & RTF,Marine RTF,USV/UAV Hybrid,RTF,Custom,1000,Proprietary,Custom,Li-ion,Autopilot,Custom,None,6,Marine Ops,Water-resistant UAV
DRN-0038,Custom,Kits & RTF,Marine Kit,Marine UAV,Kit,Custom,1200,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,8,Marine Ops,Marine UAV kit
DRN-0039,Custom,Kits & RTF,Training RTF,Trainer Drone,RTF,Custom,350,Proprietary,Custom,Li-ion,AIO FC,Custom,None,0.8,Training,Flight training drone
DRN-0040,Custom,Kits & RTF,Training Kit,Trainer Drone,Kit,Custom,400,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,1,Training,Education kit
DRN-0041,Custom,Kits & RTF,Swarm RTF,Swarm UAV,RTF,Custom,300,Proprietary,Custom,Li-ion,Autopilot,Custom,None,0.6,Swarm UAV,Swarm-ready RTF
DRN-0042,Custom,Kits & RTF,Swarm Kit,Swarm UAV,Kit,Custom,350,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,0.8,Swarm UAV,Swarm research kit
DRN-0043,Custom,Kits & RTF,Defense RTF,Tactical UAV,RTF,Custom,1200,Proprietary,Custom,Smart Battery,Autopilot,Custom,ISR Payload,7,Defense UAV,Hardened platform
DRN-0044,Custom,Kits & RTF,Defense Kit,Tactical UAV,Kit,Custom,1400,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,ISR Payload,9,Defense UAV,Defense DIY
DRN-0045,Custom,Kits & RTF,Experimental RTF,Research UAV,RTF,Custom,600,Proprietary,Custom,Li-ion,Autopilot,Custom,Custom Payload,2,Research UAV,Research platform
DRN-0046,Custom,Kits & RTF,Experimental Kit,Research UAV,Kit,Custom,700,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Custom Payload,2.5,Research UAV,Open research kit
DRN-0047,Custom,Kits & RTF,Inspection RTF,Confined UAV,RTF,Custom,500,Proprietary,Protected,Li-ion,Autopilot,Custom,None,1.5,Confined Inspection,Caged UAV
DRN-0048,Custom,Kits & RTF,Inspection Kit,Confined UAV,Kit,Custom,600,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,2,Confined Inspection,Confined space kit
DRN-0049,Custom,Kits & RTF,High Altitude RTF,HALE UAV,RTF,Custom,1800,Proprietary,Fixed Wing,Li-ion,Autopilot,Custom,None,6,HALE UAV,High altitude
DRN-0050,Custom,Kits & RTF,High Altitude Kit,HALE UAV,Kit,Custom,2000,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,8,HALE UAV,HALE research kit
DRN-0051,iFlight,Kits & RTF,FPV RTF,Racing FPV,RTF,5,210,2207,5x4.6,6S LiPo,BetaFlight FC,BetaFlight,None,1.1,FPV Racing,Race-tuned RTF
DRN-0052,GEPRC,Kits & RTF,FPV RTF,Racing FPV,RTF,5,205,2207,5x4.5,6S LiPo,BetaFlight FC,BetaFlight,None,1,FPV Racing,Lightweight racer
DRN-0053,Diatone,Kits & RTF,FPV RTF,Racing FPV,RTF,5,200,2306,5x4.6,6S LiPo,BetaFlight FC,BetaFlight,None,1.2,FPV Racing,Aggressive race geometry
DRN-0054,Custom,Kits & RTF,FPV Kit,Toothpick FPV,Kit,3,120,1204,3in,3S LiPo,User Choice,User Choice,None,0.35,Lightweight FPV,Ultralight toothpick kit
DRN-0055,Custom,Kits & RTF,FPV RTF,Toothpick FPV,RTF,4,150,1404,4in,4S LiPo,BetaFlight FC,BetaFlight,None,0.45,Lightweight FPV,Ready-to-fly toothpick
DRN-0056,Flywoo,Kits & RTF,FPV RTF,Explorer FPV,RTF,6,265,2507,6in,4S Li-ion,BetaFlight FC,BetaFlight,Action Camera,1.6,Explorer FPV,Li-ion long flight
DRN-0057,GEPRC,Kits & RTF,FPV RTF,Explorer FPV,RTF,6,270,2507,6in,4S Li-ion,BetaFlight FC,BetaFlight,Action Camera,1.7,Explorer FPV,Long endurance FPV
DRN-0058,Custom,Kits & RTF,FPV Kit,Hybrid LR FPV,Kit,8,340,2806,8in,6S Li-ion,User Choice,User Choice,Action Camera,2.8,Hybrid FPV,LR + endurance hybrid
DRN-0059,Custom,Kits & RTF,FPV RTF,Hybrid LR FPV,RTF,8,350,2806,8in,6S Li-ion,BetaFlight FC,BetaFlight,Action Camera,3,Hybrid FPV,RTF hybrid long range
DRN-0060,Autel,Kits & RTF,Industrial RTF,Inspection UAV,RTF,Custom,380,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Gimbal Camera,1.3,Inspection UAV,Enterprise inspection
DRN-0061,Parrot,Kits & RTF,Industrial RTF,Public Safety UAV,RTF,Custom,400,Proprietary,Proprietary,Smart Battery,Autopilot,Custom,Thermal Camera,1.4,Public Safety,Search & rescue
DRN-0062,Custom,Kits & RTF,Industrial RTF,Tethered UAV,RTF,Custom,450,Proprietary,Custom,Tethered Power,Autopilot,Custom,Camera Payload,3,Persistent Ops,Tethered surveillance
DRN-0063,Custom,Kits & RTF,Industrial Kit,Tethered UAV,Kit,Custom,500,User Choice,Custom,Tethered Power,Pixhawk,ArduPilot,Camera Payload,3.5,Persistent Ops,Tethered DIY kit
DRN-0064,Custom,Kits & RTF,Industrial RTF,Emergency UAV,RTF,Custom,600,Proprietary,Custom,Smart Battery,Autopilot,Custom,Medical Payload,4,Emergency Response,Medical delivery
DRN-0065,Custom,Kits & RTF,Industrial Kit,Emergency UAV,Kit,Custom,650,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Medical Payload,4.5,Emergency Response,Emergency DIY platform
DRN-0066,Custom,Kits & RTF,Delivery RTF,Urban Delivery UAV,RTF,Custom,900,Proprietary,Custom,Smart Battery,Autopilot,Custom,Cargo Box,8,Urban Delivery,City delivery UAV
DRN-0067,Custom,Kits & RTF,Delivery RTF,Rural Delivery UAV,RTF,Custom,1200,Proprietary,Custom,Smart Battery,Autopilot,Custom,Cargo Box,12,Rural Delivery,Longer range delivery
DRN-0068,Custom,Kits & RTF,Industrial Kit,Powerline UAV,Kit,Custom,800,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Inspection Payload,4,Powerline Inspection,Utility inspection kit
DRN-0069,Custom,Kits & RTF,Industrial RTF,Powerline UAV,RTF,Custom,850,Proprietary,Custom,Smart Battery,Autopilot,Custom,Inspection Payload,4.5,Powerline Inspection,RTF inspection drone
DRN-0070,Custom,Kits & RTF,Industrial RTF,Pipeline UAV,RTF,Custom,1000,Proprietary,Custom,Smart Battery,Autopilot,Custom,Inspection Payload,6,Pipeline Inspection,Pipeline survey
DRN-0071,Custom,Kits & RTF,Industrial Kit,Pipeline UAV,Kit,Custom,1100,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Inspection Payload,6.5,Pipeline Inspection,Pipeline kit
DRN-0072,Custom,Kits & RTF,Industrial RTF,Urban Inspection UAV,RTF,Custom,700,Proprietary,Protected,Smart Battery,Autopilot,Custom,None,2.5,Urban Inspection,Caged urban UAV
DRN-0073,Custom,Kits & RTF,Industrial Kit,Urban Inspection UAV,Kit,Custom,750,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,3,Urban Inspection,Confined-space kit
DRN-0074,Custom,Kits & RTF,VTOL RTF,Long Range VTOL,RTF,Custom,1400,Proprietary,Fixed Wing,Li-ion,Autopilot,ArduPilot,Gimbal Camera,7,VTOL Survey,Long-range VTOL
DRN-0075,Custom,Kits & RTF,VTOL Kit,Heavy Lift VTOL,Kit,Custom,1600,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,Payload Mount,10,Heavy VTOL,Heavy VTOL kit
DRN-0076,Custom,Kits & RTF,Fixed Wing RTF,Endurance Wing,RTF,Custom,1800,Proprietary,Fixed Wing,Li-ion,Autopilot,ArduPilot,None,4.5,Endurance UAV,Long endurance wing
DRN-0077,Custom,Kits & RTF,Fixed Wing RTF,STOL Wing,RTF,Custom,1500,Proprietary,Fixed Wing,Li-ion,Autopilot,ArduPilot,None,3.8,STOL UAV,Short takeoff wing
DRN-0078,Custom,Kits & RTF,Fixed Wing Kit,HALE Wing,Kit,Custom,2200,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,7,HALE Research,High altitude kit
DRN-0079,Custom,Kits & RTF,Education RTF,STEM Drone,RTF,Custom,300,Proprietary,Custom,Li-ion,AIO FC,Custom,None,0.6,Education,STEM education drone
DRN-0080,Custom,Kits & RTF,Education Kit,STEM Drone,Kit,Custom,350,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,0.8,Education,Educational UAV kit
DRN-0081,Custom,Kits & RTF,Swarm RTF,Micro Swarm UAV,RTF,Custom,200,Proprietary,Custom,Li-ion,Autopilot,Custom,None,0.3,Swarm Research,Micro swarm unit
DRN-0082,Custom,Kits & RTF,Swarm RTF,Industrial Swarm UAV,RTF,Custom,400,Proprietary,Custom,Li-ion,Autopilot,Custom,None,0.9,Swarm Ops,Industrial swarm node
DRN-0083,Custom,Kits & RTF,Research RTF,AI UAV,RTF,Custom,600,Proprietary,Custom,Li-ion,Autopilot,Linux+PX4,AI Module,2.2,AI Research,Onboard AI compute
DRN-0084,Custom,Kits & RTF,Research Kit,AI UAV,Kit,Custom,700,User Choice,Custom,Li-ion,Pixhawk,Linux+ArduPilot,AI Module,2.8,AI Research,AI research kit
DRN-0085,Custom,Kits & RTF,Defense RTF,ISR UAV,RTF,Custom,1500,Proprietary,Custom,Smart Battery,Autopilot,Custom,ISR Payload,9,ISR Ops,ISR platform
DRN-0086,Custom,Kits & RTF,Defense RTF,Loiter UAV,RTF,Custom,1300,Proprietary,Fixed Wing,Li-ion,Autopilot,Custom,Sensor Payload,6.5,Defense Ops,Loiter platform
DRN-0087,Custom,Kits & RTF,Marine RTF,USV Aerial Hybrid,RTF,Custom,1100,Proprietary,Custom,Li-ion,Autopilot,Custom,None,7.5,Marine Ops,Air-sea hybrid
DRN-0088,Custom,Kits & RTF,Marine Kit,USV Aerial Hybrid,Kit,Custom,1200,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,8.5,Marine Ops,Hybrid research kit
DRN-0089,Custom,Kits & RTF,Logistics RTF,Warehouse UAV,RTF,Custom,500,Proprietary,Protected,Li-ion,Autopilot,Custom,None,1.8,Indoor Logistics,Indoor navigation
DRN-0090,Custom,Kits & RTF,Logistics Kit,Warehouse UAV,Kit,Custom,550,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,2.2,Indoor Logistics,Warehouse kit
DRN-0091,Custom,Kits & RTF,Inspection RTF,Tunnel UAV,RTF,Custom,450,Proprietary,Protected,Li-ion,Autopilot,Custom,None,2,Tunnel Inspection,Low-light UAV
DRN-0092,Custom,Kits & RTF,Inspection Kit,Tunnel UAV,Kit,Custom,500,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,2.5,Tunnel Inspection,Tunnel inspection kit
DRN-0093,Custom,Kits & RTF,Public Safety RTF,Firefighting UAV,RTF,Custom,1000,Proprietary,Custom,Smart Battery,Autopilot,Custom,Fire Payload,8,Fire Response,Fire response UAV
DRN-0094,Custom,Kits & RTF,Public Safety Kit,Firefighting UAV,Kit,Custom,1100,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Fire Payload,9.5,Fire Response,Fire UAV kit
DRN-0095,Custom,Kits & RTF,Experimental RTF,Edge UAV,RTF,Custom,650,Proprietary,Custom,Li-ion,Autopilot,Custom,Edge Compute,2.6,Edge Ops,Edge compute UAV
DRN-0096,Custom,Kits & RTF,Experimental Kit,Edge UAV,Kit,Custom,750,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Edge Compute,3.2,Edge Ops,Edge research kit
DRN-0097,Custom,Kits & RTF,High Altitude RTF,Stratospheric UAV,RTF,Custom,2400,Proprietary,Fixed Wing,Li-ion,Autopilot,Custom,None,9,Near Space,Stratospheric platform
DRN-0098,Custom,Kits & RTF,High Altitude Kit,Stratospheric UAV,Kit,Custom,2600,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,11,Near Space,Near-space research kit
DRN-0099,BetaFPV,Kits & RTF,FPV RTF,Beginner FPV,RTF,3,115,1103,3in,2S Li-ion,AIO FC,BetaFlight,None,0.45,FPV Training,Beginner-friendly RTF
DRN-0100,Happymodel,Kits & RTF,FPV RTF,Beginner FPV,RTF,2,75,802,40mm,1S Li-ion,AIO FC,BetaFlight,None,0.2,FPV Training,Entry-level whoop
DRN-0101,Custom,Kits & RTF,FPV Kit,Deadcat FPV,Kit,5,235,2207,5in,6S LiPo,User Choice,User Choice,Action Camera,1.4,Cinematic FPV,No props in view
DRN-0102,Custom,Kits & RTF,FPV RTF,Deadcat FPV,RTF,7,315,2806,7in,6S LiPo,BetaFlight FC,BetaFlight,Action Camera,2.2,Cinematic FPV,Wide camera FOV
DRN-0103,Custom,Kits & RTF,FPV RTF,Pusher FPV,RTF,7,320,2806,7in,6S Li-ion,BetaFlight FC,BetaFlight,Action Camera,2.4,Endurance FPV,Rear motor configuration
DRN-0104,Custom,Kits & RTF,FPV Kit,Pusher FPV,Kit,9,380,3110,9in,6S Li-ion,User Choice,User Choice,Action Camera,3.2,Endurance FPV,Efficient pusher layout
DRN-0105,Custom,Kits & RTF,Industrial RTF,Tethered Surveillance UAV,RTF,Custom,500,Proprietary,Custom,Tethered Power,Autopilot,Custom,EO/IR Camera,4.5,Persistent Surveillance,24/7 operation capable
DRN-0106,Custom,Kits & RTF,Industrial RTF,Relay UAV,RTF,Custom,450,Proprietary,Custom,Li-ion,Autopilot,Custom,None,2.8,Comms Relay,Airborne relay node
DRN-0107,Custom,Kits & RTF,Industrial Kit,Relay UAV,Kit,Custom,500,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,3.2,Comms Relay,Relay research kit
DRN-0108,Custom,Kits & RTF,Industrial RTF,Gas Sensor UAV,RTF,Custom,650,Proprietary,Custom,Smart Battery,Autopilot,Custom,Gas Sensors,3.8,HAZMAT Ops,Gas leak detection
DRN-0109,Custom,Kits & RTF,Industrial RTF,Radiation Survey UAV,RTF,Custom,700,Proprietary,Custom,Smart Battery,Autopilot,Custom,Radiation Sensor,4,Radiation Survey,Radiation mapping
DRN-0110,Custom,Kits & RTF,Industrial Kit,Environmental UAV,Kit,Custom,750,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,Env Sensors,4.2,Environmental Survey,Multi-sensor platform
DRN-0111,Custom,Kits & RTF,Industrial RTF,Weather UAV,RTF,Custom,800,Proprietary,Custom,Smart Battery,Autopilot,Custom,Weather Sensors,4.5,Meteorology,Atmospheric sampling
DRN-0112,Custom,Kits & RTF,Industrial RTF,High Wind UAV,RTF,Custom,900,Proprietary,Custom,Smart Battery,Autopilot,Custom,None,5.5,Extreme Weather,High-wind stability
DRN-0113,Custom,Kits & RTF,Industrial RTF,Urban Micro UAV,RTF,Custom,300,Proprietary,Protected,Li-ion,Autopilot,Custom,None,0.9,Urban Ops,Discreet urban UAV
DRN-0114,Custom,Kits & RTF,Industrial Kit,Urban Micro UAV,Kit,Custom,350,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,1.2,Urban Ops,Urban kit
DRN-0115,Custom,Kits & RTF,Industrial RTF,Indoor Inspection UAV,RTF,Custom,400,Proprietary,Protected,Li-ion,Autopilot,Custom,None,1.6,Indoor Inspection,GPS-denied ops
DRN-0116,Custom,Kits & RTF,Industrial Kit,Indoor Inspection UAV,Kit,Custom,450,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,2,Indoor Inspection,Indoor kit
DRN-0117,Custom,Kits & RTF,Industrial RTF,Bridge Inspection UAV,RTF,Custom,850,Proprietary,Custom,Smart Battery,Autopilot,Custom,Inspection Camera,4.8,Bridge Inspection,Infrastructure inspection
DRN-0118,Custom,Kits & RTF,Industrial RTF,Mining UAV,RTF,Custom,900,Proprietary,Protected,Smart Battery,Autopilot,Custom,None,5.2,Mining Ops,Dust resistant
DRN-0119,Custom,Kits & RTF,Industrial Kit,Mining UAV,Kit,Custom,950,User Choice,Protected,Li-ion,Pixhawk,ArduPilot,None,5.8,Mining Ops,Mining kit
DRN-0120,Custom,Kits & RTF,Industrial RTF,Polar UAV,RTF,Custom,1000,Proprietary,Custom,Li-ion,Autopilot,Custom,None,6,Polar Ops,Extreme cold rated
DRN-0121,Custom,Kits & RTF,Industrial RTF,Desert UAV,RTF,Custom,1000,Proprietary,Custom,Li-ion,Autopilot,Custom,None,6,Desert Ops,Heat resistant
DRN-0122,Custom,Kits & RTF,Industrial RTF,Marine Survey UAV,RTF,Custom,1100,Proprietary,Custom,Li-ion,Autopilot,Custom,None,6.5,Marine Survey,Salt-resistant
DRN-0123,Custom,Kits & RTF,Industrial Kit,Marine Survey UAV,Kit,Custom,1200,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,7.2,Marine Survey,Marine kit
DRN-0124,Custom,Kits & RTF,Certification RTF,Certification UAV,RTF,Custom,600,Proprietary,Custom,Li-ion,Autopilot,Custom,None,2.5,Certification Testing,Standards testing
DRN-0125,Custom,Kits & RTF,Certification Kit,Certification UAV,Kit,Custom,650,User Choice,Custom,Li-ion,Pixhawk,ArduPilot,None,3,Certification Testing,Compliance kit
DRN-0126,Custom,Kits & RTF,Research RTF,Algorithm Test UAV,RTF,Custom,500,Proprietary,Custom,Li-ion,Autopilot,Linux+PX4,None,2.2,Algorithm Testing,Control algorithm testbed
DRN-0127,Custom,Kits & RTF,Research Kit,Algorithm Test UAV,Kit,Custom,550,User Choice,Custom,Li-ion,Pixhawk,Linux+ArduPilot,None,2.6,Algorithm Testing,Research kit
DRN-0128,Custom,Kits & RTF,Experimental RTF,Modular UAV,RTF,Custom,700,Proprietary,Modular,Li-ion,Autopilot,Custom,Custom Payload,3.5,Experimental,Highly modular UAV
DRN-0129,Custom,Kits & RTF,Experimental Kit,Modular UAV,Kit,Custom,800,User Choice,Modular,Li-ion,Pixhawk,ArduPilot,Custom Payload,4.2,Experimental,Modular research kit
DRN-0130,Custom,Kits & RTF,High Altitude RTF,Sub-Stratospheric UAV,RTF,Custom,2600,Proprietary,Fixed Wing,Li-ion,Autopilot,Custom,None,10,High Altitude,Upper-atmosphere ops
DRN-0131,Custom,Kits & RTF,High Altitude Kit,Sub-Stratospheric UAV,Kit,Custom,2800,User Choice,Fixed Wing,Li-ion,Pixhawk,ArduPilot,None,12,High Altitude,Near-space research
DRN-0132,Custom,Kits & RTF,Experimental RTF,Experimental UAV ?,RTF,Custom,900,Proprietary,Hybrid,Li-ion,Autopilot,Custom,Experimental Payload,5,Experimental,Prototype platform
DRN-0133,Autel,Kits & RTF,Complete UAV,Explorer UAV,RTF,10,95,1806,6 inch,6S 1500mAh,H7 Flight Controller,Ardupilot,None,3.28,Long Range FPV,
DRN-0134,AxisFlying,Kits & RTF,Complete UAV,Racing Drone,RTF,6,110,1806,6 inch,3S 850mAh,F4 Flight Controller,Ardupilot,Camera,2.15,Racing,
DRN-0135,iFlight,Kits & RTF,Complete UAV,FPV Freestyle Drone,BNF,6,75,1806,3 inch,6S 2200mAh,F405 Stack,Betaflight,GoPro,1.14,Freestyle FPV,
DRN-0136,GEPRC,Kits & RTF,Complete UAV,FPV Freestyle Drone,RTF,10,140,2806.5,3 inch,4S 1500mAh,F405 Stack,Ardupilot,None,4.89,Racing,
DRN-0137,Skydroid,Kits & RTF,Complete UAV,Long Range Drone,BNF,8,110,1103,7 inch,3S 850mAh,H7 Flight Controller,Betaflight,Survey Camera,1.03,Mapping / Survey,
DRN-0138,GEPRC,Kits & RTF,Complete UAV,Long Range Drone,BNF,3.5,95,1103,8 inch,6S 1300mAh,F7 Flight Controller,INAV,GoPro,1.03,Racing,
DRN-0139,DJI,Kits & RTF,Complete UAV,Cinewhoop Drone,DIY Kit,3.5,85,2004,4 inch,4S 1500mAh,F722 Stack,INAV,Camera,2.35,Cinematic FPV,
