CHG-0064,Grepow,Chargers,Industrial Charger,Multi-Port Hub,LiPo/Li-ion,5000,AC 200–240V,Auto,Integrated,AS150,Industrial,Fleet Hub
CHG-0065,Grepow,Chargers,Industrial Charger,Rack System,LiPo/Li-ion,8000,AC 380V,Auto,Integrated,AS150,Industrial,UAV Hangar
CHG-0066,Tattu,Chargers,Industrial Charger,Fast Charger,Li-ion,3000,DC 24–60V,45,Integrated,AS150,Industrial,Fast Deployment
CHG-0067,Tattu,Chargers,Industrial Charger,Multi-Channel Station,LiPo/Li-ion,6000,AC 200–240V,Auto,Integrated,AS150,Industrial,Fleet Charging
CHG-0068,Ultra Power,Chargers,Smart Charger,Multi-Channel Charger,LiPo/Li-ion/LiFe/NiMH,700,DC 10–30V,15,Integrated,XT60,FPV,Multi Pack Charging
CHG-0069,Ultra Power,Chargers,Smart Charger,Lab Charger,LiPo/Li-ion/LiFe/NiMH,1000,DC 18–50V,25,Integrated,XT90,Industrial,Testing & Validation
CHG-0070,Custom,Chargers,Industrial Charger,Smart BMS Charger,Li-ion,2500,DC 24–60V,Auto,BMS Managed,AS150,Industrial,Smart Batteries
CHG-0071,Custom,Chargers,Industrial Charger,Fast Swap Charger,Li-ion,2000,AC 200–240V,Auto,Integrated,Dock,Industrial,Hot Swap Ops
CHG-0072,Custom,Chargers,Industrial Charger,Mobile Charging Cart,LiPo/Li-ion,7000,AC 200–240V,Auto,Integrated,AS150,Industrial,Mobile Fleet
CHG-0073,Custom,Chargers,Industrial Charger,Container Charger,LiPo/Li-ion,12000,AC 380V,Auto,Integrated,AS150,Industrial,Remote Base
CHG-0074,Custom,Chargers,Industrial Charger,Marine Charger,Li-ion,1800,DC 24–48V,30,Integrated,AS150,Industrial,Marine UAV
CHG-0075,Custom,Chargers,Industrial Charger,Aviation Charger,Li-ion,5000,AC 200–240V,Auto,Integrated,AS150,Industrial,Aviation UAV
CHG-0076,Custom,Chargers,Industrial Charger,Defense Charger,Li-ion,6000,AC 200–240V,Auto,Encrypted,AS150,Industrial,Defense UAV
CHG-0077,Custom,Chargers,Smart Charger,1S Multi Charger,Li-ion,120,USB-C PD,8,None,USB-C,FPV,Whoop Fleet
CHG-0078,Custom,Chargers,Smart Charger,Travel Charger,LiPo/Li-ion,150,USB-C PD,5,Integrated,XT30,FPV,Travel Use
CHG-0079,Custom,Chargers,Smart Charger,Wireless Charger,Li-ion,30,AC 100–240V,Auto,None,Wireless Pad,FPV,Experimental
CHG-0080,Custom,Chargers,Smart Charger,Board Integrated Charger,LiPo/Li-ion,200,DC 10–30V,10,Integrated,Board,FPV,Embedded Systems
CHG-0081,Custom,Chargers,Industrial Charger,High Altitude Charger,Li-ion,2000,DC 24–60V,30,Integrated,AS150,Industrial,HALE UAV
CHG-0082,Custom,Chargers,Industrial Charger,Cold Weather Charger,Li-ion,1800,DC 24–60V,30,Integrated,AS150,Industrial,Arctic Ops
CHG-0083,Custom,Chargers,Industrial Charger,Redundant Charger Pair,Li-ion,4000,AC 200–240V,Auto,Integrated,AS150,Industrial,Critical Ops
CHG-0084,Custom,Chargers,Industrial Charger,Certification Charger,Li-ion,3000,AC 200–240V,Auto,Integrated,AS150,Industrial,Certification Testing
CHG-0085,Custom,Chargers,Industrial Charger,Payload Charger,Li-ion,800,DC 12–36V,20,Integrated,XT60,Industrial,Payload Ops
CHG-0086,Custom,Chargers,Smart Charger,Research Charger,Selectable,2000,DC 10–60V,Variable,Custom,Custom,Industrial,Research Lab
CHG-0087,Custom,Chargers,Industrial Charger,AI Managed Charger,Li-ion,5000,AC 200–240V,Auto,AI Managed,AS150,Industrial,Smart Fleet
CHG-0088,Custom,Chargers,Industrial Charger,Edge Charger,Li-ion,2200,DC 24–48V,35,Integrated,AS150,Industrial,Edge Deployment
CHG-0089,Custom,Chargers,Industrial Charger,Rapid Deployment Kit,Li-ion,3000,AC 200–240V,Auto,Integrated,AS150,Industrial,Disaster Response
CHG-0090,Custom,Chargers,Smart Charger,Education Charger,LiPo/Li-ion,300,AC 100–240V,10,Integrated,XT60,Industrial,Training Labs
CHG-0091,Custom,Chargers,Industrial Charger,Swarm Charger,Li-ion,6000,AC 200–240V,Auto,Integrated,AS150,Industrial,Swarm UAV
CHG-0092,Custom,Chargers,Industrial Charger,Microgrid Charger,Li-ion,8000,AC Microgrid,Auto,Integrated,AS150,Industrial,Off-Grid Ops
CHG-0093,Custom,Chargers,Industrial Charger,Emergency Charger,Li-ion,1500,AC 110–240V,Auto,Integrated,AS150,Industrial,Emergency Ops
CHG-0094,Custom,Chargers,Industrial Charger,Fail-Safe Charger,Li-ion,3000,AC 200–240V,Auto,Integrated,AS150,Industrial,Critical UAV
CHG-0095,Custom,Chargers,Smart Charger,Calibration Charger,Li-ion,200,DC 10–30V,8,Integrated,XT60,Industrial,Calibration
CHG-0096,Custom,Chargers,Industrial Charger,Space UAV Charger,Li-ion,4000,AC 200–240V,Auto,Rad-Hardened,AS150,Industrial,Near-Space UAV
CHG-0097,Custom,Chargers,Industrial Charger,Experimental Charger X,Selectable,5000,DC 10–72V,Variable,Custom,Custom,Industrial,Experimental
CHG-0098,Brand,Category,SubCategory,ChargerType,SupportedChemistry,MaxChargePower_W,InputVoltage,OutputCurrent_A,BalancerType,PortType,SupportedDroneType,IntendedUse
CHG-0099,ISDT,Chargers,Smart Charger,Low Power Charger,LiPo/Li-ion,100,DC 7–18V,5,Integrated,XT30,FPV,Micro FPV
CHG-0100,ISDT,Chargers,Smart Charger,Storage Charger,LiPo/LiHV,300,DC 10–30V,12,Integrated,XT60,FPV,Storage Prep
CHG-0101,HOTA,Chargers,Smart Charger,Storage Charger,LiPo/LiHV,600,DC 10–30V,20,Integrated,XT90,FPV,Storage Prep
CHG-0102,HOTA,Chargers,Smart Charger,Balance-Only Charger,LiPo/Li-ion,200,DC 10–30V,8,Integrated,XT60,FPV,Balancing Only
CHG-0103,SkyRC,Chargers,Smart Charger,Discharger,LiPo/Li-ion/LiFe,300,DC 10–30V,15,Integrated,XT60,FPV,Safe Discharge
CHG-0104,SkyRC,Chargers,Smart Charger,High Power Discharger,LiPo/Li-ion,800,DC 18–60V,30,Integrated,XT90,Industrial,Lab Use
CHG-0105,ToolkitRC,Chargers,Smart Charger,Analyzer Charger,LiPo/Li-ion/LiFe,200,DC 7–30V,10,Integrated,XT60,FPV,Analysis & Testing
CHG-0106,ToolkitRC,Chargers,Smart Charger,ESC Programmer Charger,LiPo/Li-ion,150,DC 7–28V,8,Integrated,XT60,FPV,Setup & Config
CHG-0107,Turnigy,Chargers,Smart Charger,Legacy Charger,LiPo/Li-ion/LiFe/NiMH,150,AC 100–240V,7,Integrated,XT60,FPV,Legacy RC
CHG-0108,Turnigy,Chargers,Smart Charger,NiMH Charger,NiMH/NiCd,100,AC 100–240V,5,None,Tamiya,RC,Legacy RC
CHG-0109,Grepow,Chargers,Industrial Charger,Calibration Charger,Li-ion,2000,DC 18–60V,Auto,Integrated,AS150,Industrial,Calibration Ops
CHG-0110,Grepow,Chargers,Industrial Charger,Certification Charger,Li-ion,2500,AC 200–240V,Auto,Integrated,AS150,Industrial,Certification Labs
CHG-0111,Tattu,Chargers,Industrial Charger,Redundant Charger Pair,Li-ion,4000,AC 200–240V,Auto,Integrated,AS150,Industrial,Critical Ops
CHG-0112,Tattu,Chargers,Industrial Charger,Transport Case Charger,Li-ion,1800,AC 200–240V,Auto,Integrated,AS150,Industrial,Mobile Ops
CHG-0113,Custom,Chargers,Industrial Charger,Explosion-Safe Charger,Li-ion,3000,AC 200–240V,Auto,Integrated,AS150,Industrial,Hazard Zones
CHG-0114,Custom,Chargers,Industrial Charger,EMI-Shielded Charger,Li-ion,2800,AC 200–240V,Auto,Integrated,AS150,Industrial,EMI-Sensitive Ops
CHG-0115,Custom,Chargers,Industrial Charger,Silent Charger,Li-ion,1500,AC 200–240V,Auto,Integrated,AS150,Industrial,Noise-Sensitive Ops
CHG-0116,Custom,Chargers,Industrial Charger,High Efficiency Charger,Li-ion,3200,AC 200–240V,Auto,Integrated,AS150,Industrial,Energy Efficient
CHG-0117,Custom,Chargers,Industrial Charger,Backup Power Charger,Li-ion,2000,AC + Battery Backup,Auto,Integrated,AS150,Industrial,Resilience Ops
CHG-0118,Custom,Chargers,Industrial Charger,Grid-Tied Charger,Li-ion,6000,AC Grid,Auto,Integrated,AS150,Industrial,Grid Ops
CHG-0119,Custom,Chargers,Industrial Charger,Hybrid Energy Charger,Li-ion,5000,AC + Solar + Generator,Auto,Integrated,AS150,Industrial,Hybrid Ops
CHG-0120,Custom,Chargers,Industrial Charger,Extreme Cold Charger,Li-ion,1600,DC 24–60V,Auto,Integrated,AS150,Industrial,Arctic Ops
CHG-0121,Custom,Chargers,Industrial Charger,Extreme Heat Charger,Li-ion,1600,AC 200–240V,Auto,Integrated,AS150,Industrial,Desert Ops
CHG-0122,Custom,Chargers,Industrial Charger,Underwater UAV Charger,Li-ion,800,DC 12–36V,20,Integrated,Sealed,Industrial,UUV Ops
CHG-0123,Custom,Chargers,Industrial Charger,Confined Space Charger,Li-ion,1200,DC 24–48V,30,Integrated,AS150,Industrial,Confined Ops
CHG-0124,Custom,Chargers,Smart Charger,Fail-Detection Charger,Li-ion,300,DC 10–30V,10,Integrated,XT60,FPV,Safety Testing
CHG-0125,Custom,Chargers,Smart Charger,Training Charger,LiPo/Li-ion,200,AC 100–240V,8,Integrated,XT60,Industrial,Training Labs
CHG-0126,Custom,Chargers,Industrial Charger,Modular Charger Block,Li-ion,1000,DC 24–60V,Auto,Integrated,AS150,Industrial,Scalable Systems
CHG-0127,Custom,Chargers,Industrial Charger,Swappable Module Charger,Li-ion,1500,DC 24–60V,Auto,Integrated,AS150,Industrial,Field Repair
CHG-0128,Custom,Chargers,Industrial Charger,Certification Witness Charger,Li-ion,2000,AC 200–240V,Auto,Integrated,AS150,Industrial,Test Witnessing
CHG-0129,Custom,Chargers,Industrial Charger,Experimental Charger Z,Selectable,6000,DC 10–72V,Variable,Custom,Custom,Industrial,Experimental
CHG-0130,ToolkitRC,Chargers,Battery Charger,Parallel Charging Hub,Li-ion,1000,AC/DC,30,Internal,XT60,FPV,Racing FPV
CHG-0131,SkyRC,Chargers,Battery Charger,Industrial Charger,LiPo,1000,AC/DC,25,Smart Balance,XT30,FPV,Battery Maintenance
CHG-0132,GensAce,Chargers,Battery Charger,Smart Balance Charger,Li-ion,300,AC 100-240V,10,Smart Balance,XT60,FPV,Home Charging
CHG-0133,Tenergy,Chargers,Battery Charger,Smart Balance Charger,LiPo,500,AC 100-240V,15,External,AS150,FPV,Field Charging
CHG-0134,GensAce,Chargers,Battery Charger,Dual Channel Charger,Li-ion,100,AC 100-240V,25,Smart Balance,XT60,FPV,Freestyle FPV
CHG-0135,UltraPower,Chargers,Battery Charger,Parallel Charging Hub,LiHV,300,AC/DC,5,External,XT90,FPV,Freestyle FPV
CHG-0136,HOTA,Chargers,Battery Charger,Smart Balance Charger,NiMH,800,AC 100-240V,20,Smart Balance,XT60,FPV,Home Charging
CHG-0137,HobbyMate,Chargers,Battery Charger,Dual Channel Charger,Pb,800,DC 10-30V,25,Internal,AS150,FPV,Home Charging
CHG-0138,ToolkitRC,Chargers,Battery Charger,Smart Balance Charger,Pb,400,AC/DC,5,Smart Balance,AS150,FPV,Battery Maintenance
CHG-0139,ISDT,Chargers,Battery Charger,Field Charger,Li-ion,1000,DC 10-30V,10,External,XT60,FPV,Racing FPV
CHG-0140,Tenergy,Chargers,Battery Charger,Smart Balance Charger,LiHV,200,AC 100-240V,20,External,XT90,FPV,Field Charging
CHG-0141,HobbyMate,Chargers,Battery Charger,Industrial Charger,LiPo,500,AC 100-240V,25,Internal,XT60,Agricultural,Heavy Lift UAV
CHG-0142,UltraPower,Chargers,Battery Charger,Field Charger,LiHV,400,AC 100-240V,15,Smart Balance,XT90,FPV,Field Charging
CHG-0143,HOTA,Chargers,Battery Charger,Industrial Charger,Pb,1000,DC 10-30V,10,Internal,XT30,FPV,Racing FPV
CHG-0144,ToolkitRC,Chargers,Battery Charger,Dual Channel Charger,Li-ion,200,DC 10-30V,25,External,XT30,Industrial,Industrial UAV
CHG-0145,ToolkitRC,Chargers,Battery Charger,Industrial Charger,LiPo,800,AC 100-240V,20,External,XT60,FPV,Freestyle FPV
CHG-0146,Turnigy,Chargers,Battery Charger,Dual Channel Charger,LiPo,1000,DC 10-30V,20,External,XT90,FPV,Field Charging
CHG-0147,EV-Peak,Chargers,Battery Charger,Field Charger,NiMH,400,AC 100-240V,15,External,AS150,Industrial,Industrial UAV
CHG-0148,UltraPower,Chargers,Battery Charger,Smart Balance Charger,Pb,200,DC 10-30V,15,Internal,AS150,FPV,Battery Maintenance
CHG-0149,ToolkitRC,Chargers,Battery Charger,Parallel Charging Hub,LiPo,1000,AC/DC,20,Smart Balance,XT90,FPV,Battery Maintenance
CHG-0150,GensAce,Chargers,Battery Charger,Smart Balance Charger,Pb,100,AC/DC,30,Internal,XT90,FPV,Home Charging
CHG-0151,SkyRC,Chargers,Battery Charger,Parallel Charging Hub,Pb,100,DC 10-30V,10,Internal,XT60,Industrial,Industrial UAV
CHG-0152,Spektrum,Chargers,Battery Charger,Dual Channel Charger,LiPo,300,AC/DC,15,Internal,XT90,Industrial,Industrial UAV
CHG-0153,ISDT,Chargers,Battery Charger,Parallel Charging Hub,NiMH,1000,AC 100-240V,15,External,XT90,FPV,Racing FPV
CHG-0154,HOTA,Chargers,Battery Charger,Industrial Charger,NiMH,1000,DC 10-30V,20,Internal,AS150,FPV,Battery Maintenance
CHG-0155,UltraPower,Chargers,Battery Charger,Dual Channel Charger,NiMH,1000,AC 100-240V,10,External,XT90,FPV,Racing FPV
CHG-0156,HOTA,Chargers,Battery Charger,Dual Channel Charger,LiPo,800,DC 10-30V,25,Smart Balance,XT90,Industrial,Industrial UAV
CHG-0157,EV-Peak,Chargers,Battery Charger,Field Charger,LiHV,300,AC/DC,15,Internal,XT30,Agricultural,Heavy Lift UAV
CHG-0158,HobbyMate,Chargers,Battery Charger,Field Charger,Li-ion,800,AC 100-240V,25,Smart Balance,XT30,FPV,Racing FPV
CHG-0159,EV-Peak,Chargers,Battery Charger,Dual Channel Charger,Li-ion,100,DC 10-30V,15,Smart Balance,XT60,Industrial,Industrial UAV
CHG-0160,EV-Peak,Chargers,Battery Charger,Dual Channel Charger,NiMH,400,AC/DC,5,External,XT90,FPV,Battery Maintenance
CHG-0161,HobbyMate,Chargers,Battery Charger,Industrial Charger,Li-ion,100,AC/DC,30,Internal,AS150,FPV,Home Charging
CHG-0162,ToolkitRC,Chargers,Battery Charger,Smart Balance Charger,NiMH,500,DC 10-30V,5,Internal,XT90,FPV,Freestyle FPV
CHG-0163,SkyRC,Chargers,Battery Charger,Industrial Charger,LiHV,100,DC 10-30V,15,Smart Balance,XT60,FPV,Freestyle FPV
CHG-0164,Turnigy,Chargers,Battery Charger,Field Charger,Pb,1000,DC 10-30V,20,External,XT30,Industrial,Industrial UAV
CHG-0165,UltraPower,Chargers,Battery Charger,Field Charger,LiHV,100,DC 10-30V,25,Internal,XT60,Agricultural,Heavy Lift UAV
CHG-0166,UltraPower,Chargers,Battery Charger,Dual Channel Charger,Li-ion,100,AC 100-240V,30,External,XT30,FPV,Battery Maintenance
CHG-0167,Turnigy,Chargers,Battery Charger,Field Charger,LiPo,200,AC/DC,15,External,AS150,FPV,Field Charging
CHG-0168,SkyRC,Chargers,Battery Charger,Parallel Charging Hub,LiHV,400,AC 100-240V,20,External,XT90,FPV,Home Charging
CHG-0169,Spektrum,Chargers,Battery Charger,Dual Channel Charger,Pb,800,AC 100-240V,30,External,XT60,FPV,Home Charging
CHG-0170,GensAce,Chargers,Battery Charger,Field Charger,LiPo,800,DC 10-30V,15,Smart Balance,XT30,Agricultural,Heavy Lift UAV
CHG-0171,GensAce,Chargers,Battery Charger,Dual Channel Charger,NiMH,800,AC/DC,25,Internal,XT60,Agricultural,Heavy Lift UAV
CHG-0172,Turnigy,Chargers,Battery Charger,Dual Channel Charger,LiPo,400,DC 10-30V,20,Internal,XT30,FPV,Field Charging
CHG-0173,Spektrum,Chargers,Battery Charger,Field Charger,Li-ion,200,AC 100-240V,5,External,XT60,FPV,Field Charging
CHG-0174,UltraPower,Chargers,Battery Charger,Parallel Charging Hub,Li-ion,400,DC 10-30V,30,Internal,XT30,Agricultural,Heavy Lift UAV
CHG-0175,SkyRC,Chargers,Battery Charger,Dual Channel Charger,Li-ion,1000,AC/DC,20,Internal,XT90,Agricultural,Heavy Lift UAV
CHG-0176,SkyRC,Chargers,Battery Charger,Dual Channel Charger,Li-ion,500,DC 10-30V,25,Internal,XT60,FPV,Battery Maintenance
CHG-0177,ISDT,Chargers,Battery Charger,Field Charger,Li-ion,400,DC 10-30V,10,Smart Balance,XT60,FPV,Field Charging
CHG-0178,GensAce,Chargers,Battery Charger,Dual Channel Charger,LiHV,200,AC/DC,10,External,XT30,FPV,Racing FPV
CHG-0179,UltraPower,Chargers,Battery Charger,Industrial Charger,NiMH,300,AC 100-240V,30,Internal,XT30,Agricultural,Heavy Lift UAV
CHG-0180,ISDT,Chargers,Battery Charger,Dual Channel Charger,Li-ion,300,AC/DC,5,External,XT90,FPV,Battery Maintenance
CHG-0181,HOTA,Chargers,Battery Charger,Industrial Charger,LiPo,100,AC 100-240V,30,Internal,AS150,Agricultural,Heavy Lift UAV
