CameraID,Brand,Category,SubCategory,CameraType,SensorType,Resolution,VideoSystem,LensSize_mm,FieldOfView_deg,Interface,MountType,Weight_g,SupportedDroneType,IntendedUse
CAM-0114,Gremsy,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,4K,DJI Digital,2.1mm,165,CVBS,Mini,50,FPV,Freestyle FPV
CAM-0115,DJI,Cameras,UAV Camera,FPV Camera,Thermal Sensor,720p,Standalone Payload,1.8mm,110,Ethernet,Micro,5,Agricultural,Agriculture Survey
CAM-0116,Foxeer,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,4K,Standalone Payload,1.8mm,120,CVBS,Payload Mount,20,FPV,Freestyle FPV
CAM-0117,RunCam,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,20MP,Standalone Payload,1.8mm,155,CVBS,Payload Mount,35,FPV,Freestyle FPV
CAM-0118,NextVision,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,20MP,DJI Digital,2.5mm,165,CVBS,Payload Mount,35,FPV,Freestyle FPV
CAM-0119,Gremsy,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,2K,Walksnail Avatar,12mm,155,HDMI,Micro,35,Agricultural,Crop Health Monitoring
CAM-0120,Workswell,Cameras,UAV Camera,Digital FPV Camera,Multispectral Sensor,4K,DJI Digital,12mm,120,USB,Mini,120,Industrial,Mapping / Survey
CAM-0121,Viewpro,Cameras,UAV Camera,Thermal Camera,CMOS,4K,Standalone Payload,1.8mm,90,HDMI,Micro,35,Agricultural,Agriculture Survey
CAM-0122,RunCam,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,24MP,DJI Digital,3.6mm,155,MIPI,Payload Mount,5,FPV,Racing FPV
CAM-0123,MicaSense,Cameras,UAV Camera,FPV Camera,Thermal Sensor,20MP,Analog,12mm,90,Ethernet,Gimbal Mount,10,FPV,Freestyle FPV
CAM-0124,Caddx,Cameras,UAV Camera,Agriculture Multispectral Camera,Multispectral Sensor,20MP,HDZero,4mm,165,USB,Gimbal Mount,20,Agricultural,Agriculture Survey
CAM-0125,Workswell,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,1080p,DJI Digital,12mm,120,CVBS,Mini,250,FPV,Cinematic FPV
CAM-0126,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,Multispectral Sensor,4K,Standalone Payload,2.1mm,140,USB,Nano,20,Agricultural,Crop Health Monitoring
CAM-0127,DJI,Cameras,UAV Camera,Gimbal Payload Camera,Thermal Sensor,24MP,HDZero,12mm,120,HDMI,Nano,10,Agricultural,Crop Health Monitoring
CAM-0128,DJI,Cameras,UAV Camera,Thermal Camera,Thermal Sensor,48MP,Standalone Payload,1.8mm,110,CVBS,Nano,10,FPV,Freestyle FPV
CAM-0129,Walksnail,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,1080p,DJI Digital,2.8mm,110,Ethernet,Micro,35,FPV,Cinematic FPV
CAM-0130,Walksnail,Cameras,UAV Camera,Agriculture Multispectral Camera,Sony STARVIS CMOS,12MP,HDZero,2.1mm,90,CVBS,Gimbal Mount,35,FPV,Racing FPV
CAM-0131,SIYI,Cameras,UAV Camera,Gimbal Payload Camera,Sony STARVIS CMOS,1080p,HDZero,4mm,140,Ethernet,Payload Mount,20,Industrial,Infrastructure Inspection
CAM-0132,MicaSense,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,1080p,Analog,12mm,110,CVBS,Micro,450,Industrial,Mapping / Survey
CAM-0133,Gremsy,Cameras,UAV Camera,FPV Camera,CMOS,24MP,HDZero,2.5mm,120,USB,Payload Mount,250,Industrial,Mapping / Survey
CAM-0134,NextVision,Cameras,UAV Camera,Thermal Camera,Multispectral Sensor,12MP,HDZero,12mm,155,HDMI,Mini,120,FPV,Racing FPV
CAM-0135,Sentera,Cameras,UAV Camera,Agriculture Multispectral Camera,Thermal Sensor,20MP,Walksnail Avatar,1.8mm,110,USB,Micro,250,FPV,Freestyle FPV
CAM-0136,NextVision,Cameras,UAV Camera,Mapping Camera,Thermal Sensor,720p,DJI Digital,1.8mm,155,CVBS,Micro,120,Agricultural,Crop Health Monitoring
CAM-0137,Caddx,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,1080p,Analog,3.6mm,110,HDMI,Mini,250,FPV,Freestyle FPV
CAM-0138,Foxeer,Cameras,UAV Camera,Digital FPV Camera,Global Shutter CMOS,12MP,Standalone Payload,12mm,140,HDMI,Gimbal Mount,15,Agricultural,Agriculture Survey
CAM-0139,Hawkeye,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,4K,HDZero,4mm,140,Ethernet,Payload Mount,8,Industrial,Infrastructure Inspection
CAM-0140,MicaSense,Cameras,UAV Camera,FPV Camera,CMOS,720p,Walksnail Avatar,1.8mm,120,USB,Nano,50,FPV,Cinematic FPV
CAM-0141,NextVision,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,24MP,Standalone Payload,4mm,165,CVBS,Payload Mount,20,FPV,Racing FPV
CAM-0142,Viewpro,Cameras,UAV Camera,Inspection Camera,Sony STARVIS CMOS,24MP,Standalone Payload,2.1mm,140,MIPI,Micro,120,FPV,Racing FPV
CAM-0143,DJI,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,2K,Walksnail Avatar,6mm,140,CVBS,Nano,10,FPV,Cinematic FPV
CAM-0144,HDZero,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,12MP,Standalone Payload,3.6mm,165,HDMI,Mini,250,FPV,Freestyle FPV
CAM-0145,Viewpro,Cameras,UAV Camera,FPV Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,3.6mm,140,Ethernet,Gimbal Mount,120,Agricultural,Crop Health Monitoring
CAM-0146,RunCam,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,24MP,Analog,1.8mm,165,CVBS,Micro,450,Agricultural,Agriculture Survey
CAM-0147,SIYI,Cameras,UAV Camera,Mapping Camera,Sony STARVIS CMOS,48MP,Analog,12mm,165,HDMI,Nano,8,FPV,Cinematic FPV
CAM-0148,Gremsy,Cameras,UAV Camera,Gimbal Payload Camera,CMOS,1080p,Analog,4mm,110,MIPI,Payload Mount,120,FPV,Freestyle FPV
CAM-0149,Viewpro,Cameras,UAV Camera,Inspection Camera,Thermal Sensor,48MP,HDZero,2.1mm,120,Ethernet,Micro,10,FPV,Cinematic FPV
CAM-0150,Gremsy,Cameras,UAV Camera,Agriculture Multispectral Camera,CMOS,4K,Standalone Payload,3.6mm,90,USB,Mini,120,Industrial,Mapping / Survey
CAM-0151,RunCam,Cameras,UAV Camera,Digital FPV Camera,Sony STARVIS CMOS,4K,Analog,1.8mm,90,USB,Mini,10,Industrial,Infrastructure Inspection
CAM-0152,NextVision,Cameras,UAV Camera,Inspection Camera,Global Shutter CMOS,720p,Analog,2.5mm,120,HDMI,Nano,450,Industrial,Mapping / Survey
CAM-0153,Viewpro,Cameras,UAV Camera,Thermal Camera,Global Shutter CMOS,1080p,Walksnail Avatar,2.1mm,120,HDMI,Micro,250,Industrial,Mapping / Survey
CAM-0154,Hawkeye,Cameras,UAV Camera,Agriculture Multispectral Camera,Global Shutter CMOS,720p,Standalone Payload,2.1mm,110,CVBS,Nano,5,Industrial,Mapping / Survey
CAM-0155,SIYI,Cameras,UAV Camera,Inspection Camera,Multispectral Sensor,720p,Walksnail Avatar,4mm,110,CVBS,Micro,250,FPV,Cinematic FPV
CAM-0156,SIYI,Cameras,UAV Camera,Thermal Camera,Sony STARVIS CMOS,4K,Walksnail Avatar,3.6mm,120,MIPI,Gimbal Mount,15,Agricultural,Agriculture Survey
