ESCID,Brand,Category,SubCategory,ESCType,ContinuousCurrent_A,BurstCurrent_A,SupportedVoltage,Firmware,InputProtocol,MountPattern_mm,BEC_Output,CoolingMethod,SupportedDroneType,IntendedUse
ESC-0032,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,65,85,6-12S,AM32,Oneshot125,30x30,5V 2A,Active Cooling,FPV,Long Range FPV
ESC-0033,Diatone,ESC,Electronic Speed Controller,Single ESC,100,120,6-12S,AM32,DShot300,20x20,N/A,Active Cooling,FPV,Racing FPV
ESC-0034,Hobbywing,ESC,Electronic Speed Controller,Industrial ESC,30,35,4-8S,BLHeli_S,DShot600,30x30,10V 2A,Passive,FPV,Long Range FPV
ESC-0035,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,55,60,4-8S,BLHeli_32,Multishot,30x30,N/A,Active Cooling,FPV,Racing FPV
ESC-0036,HGLRC,ESC,Electronic Speed Controller,Single ESC,100,105,2-4S,AM32,Oneshot125,16x16,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0037,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,45,55,3-6S,AM32,Oneshot125,30x30,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0038,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,45,65,3-6S,BLHeli_32,Multishot,30x30,10V 2A,Heatsink,FPV,Freestyle FPV
ESC-0039,GEPRC,ESC,Electronic Speed Controller,Stack ESC,20,25,6-12S,AM32,DShot300,30x30,5V 5A,Active Cooling,Industrial,Industrial UAV
ESC-0040,HGLRC,ESC,Electronic Speed Controller,Stack ESC,20,40,6-12S,BLHeli_S,DShot600,20x20,10V 2A,Passive,Industrial,Industrial UAV
ESC-0041,Foxeer,ESC,Electronic Speed Controller,Stack ESC,30,35,3-6S,AM32,Multishot,16x16,10V 2A,Passive,Industrial,Industrial UAV
ESC-0042,HGLRC,ESC,Electronic Speed Controller,Stack ESC,45,55,3-6S,BLHeli_S,DShot300,16x16,5V 3A,Heatsink,FPV,Cinematic FPV
ESC-0043,RushFPV,ESC,Electronic Speed Controller,Industrial ESC,40,45,3-6S,BLHeli_S,Multishot,30x30,5V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0044,Skystars,ESC,Electronic Speed Controller,Single ESC,35,40,3-6S,BLHeli_S,DShot1200,16x16,5V 2A,Heatsink,Industrial,Industrial UAV
ESC-0045,TBS,ESC,Electronic Speed Controller,4-in-1 ESC,55,75,6-12S,SimonK,DShot1200,20x20,10V 2A,Active Cooling,FPV,Long Range FPV
ESC-0046,Flywoo,ESC,Electronic Speed Controller,Industrial ESC,45,60,6-12S,BLHeli_S,DShot300,16x16,5V 5A,Active Cooling,FPV,Cinematic FPV
ESC-0047,Aikon,ESC,Electronic Speed Controller,Single ESC,60,65,2-4S,BLHeli_32,DShot600,30x30,5V 2A,Passive,FPV,Cinematic FPV
ESC-0048,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,20,40,3-6S,AM32,Oneshot125,16x16,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0049,Skystars,ESC,Electronic Speed Controller,Single ESC,80,85,6-12S,SimonK,DShot600,16x16,5V 3A,Active Cooling,FPV,Cinematic FPV
ESC-0050,iFlight,ESC,Electronic Speed Controller,Stack ESC,60,80,3-6S,BLHeli_32,DShot1200,16x16,N/A,Passive,FPV,Long Range FPV
ESC-0051,RushFPV,ESC,Electronic Speed Controller,Single ESC,55,65,6-12S,BLHeli_32,DShot1200,20x20,10V 2A,Passive,FPV,Racing FPV
ESC-0052,Lumenier,ESC,Electronic Speed Controller,Stack ESC,60,65,3-6S,BLHeli_S,Multishot,16x16,5V 5A,Heatsink,FPV,Cinematic FPV
ESC-0053,GEPRC,ESC,Electronic Speed Controller,Stack ESC,30,40,2-4S,AM32,DShot300,16x16,10V 2A,Heatsink,FPV,Long Range FPV
ESC-0054,Aikon,ESC,Electronic Speed Controller,4-in-1 ESC,45,50,3-6S,BLHeli_32,DShot1200,30x30,5V 3A,Heatsink,Industrial,Industrial UAV
ESC-0055,Flywoo,ESC,Electronic Speed Controller,4-in-1 ESC,100,120,6-12S,AM32,Multishot,16x16,5V 5A,Passive,Industrial,Industrial UAV
ESC-0056,Lumenier,ESC,Electronic Speed Controller,Single ESC,40,50,3-6S,SimonK,DShot1200,16x16,5V 3A,Heatsink,FPV,Racing FPV
ESC-0057,TBS,ESC,Electronic Speed Controller,Stack ESC,80,85,2-4S,BLHeli_32,DShot300,20x20,5V 2A,Passive,FPV,Freestyle FPV
ESC-0058,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,100,105,3-6S,SimonK,DShot1200,30x30,5V 5A,Passive,FPV,Freestyle FPV
ESC-0059,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,40,55,2-4S,AM32,DShot300,30x30,5V 2A,Heatsink,FPV,Cinematic FPV
ESC-0060,Aikon,ESC,Electronic Speed Controller,Stack ESC,45,50,6-12S,AM32,Multishot,20x20,5V 5A,Passive,FPV,Cinematic FPV
ESC-0061,SpeedyBee,ESC,Electronic Speed Controller,Single ESC,35,55,6-12S,BLHeli_32,DShot600,16x16,10V 2A,Passive,FPV,Long Range FPV
ESC-0062,Diatone,ESC,Electronic Speed Controller,Single ESC,40,60,4-8S,SimonK,Oneshot125,30x30,5V 3A,Heatsink,FPV,Long Range FPV
ESC-0063,SpeedyBee,ESC,Electronic Speed Controller,Industrial ESC,60,65,6-12S,AM32,Oneshot125,30x30,10V 2A,Passive,FPV,Freestyle FPV
ESC-0064,iFlight,ESC,Electronic Speed Controller,Stack ESC,45,60,3-6S,BLHeli_S,DShot300,30x30,5V 2A,Passive,FPV,Cinematic FPV
ESC-0065,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,50,70,6-12S,BLHeli_S,Oneshot125,30x30,5V 2A,Heatsink,FPV,Cinematic FPV
ESC-0066,RushFPV,ESC,Electronic Speed Controller,Single ESC,40,50,2-4S,AM32,DShot300,16x16,5V 3A,Heatsink,FPV,Racing FPV
ESC-0067,Diatone,ESC,Electronic Speed Controller,Industrial ESC,30,50,6-12S,AM32,DShot300,16x16,N/A,Passive,Industrial,Industrial UAV
ESC-0068,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,30,35,2-4S,BLHeli_S,DShot600,30x30,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0069,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,30,50,4-8S,BLHeli_32,DShot300,20x20,N/A,Passive,Industrial,Industrial UAV
ESC-0070,AxisFlying,ESC,Electronic Speed Controller,Single ESC,50,70,4-8S,AM32,DShot300,16x16,N/A,Heatsink,FPV,Racing FPV
ESC-0071,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,30,40,3-6S,BLHeli_S,Multishot,30x30,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0072,Lumenier,ESC,Electronic Speed Controller,Stack ESC,45,50,4-8S,AM32,DShot600,16x16,5V 3A,Passive,Industrial,Industrial UAV
ESC-0073,Aikon,ESC,Electronic Speed Controller,4-in-1 ESC,40,50,2-4S,AM32,Oneshot125,16x16,10V 2A,Heatsink,Industrial,Industrial UAV
ESC-0074,iFlight,ESC,Electronic Speed Controller,Industrial ESC,20,40,2-4S,BLHeli_S,DShot1200,30x30,5V 5A,Passive,FPV,Cinematic FPV
ESC-0075,GEPRC,ESC,Electronic Speed Controller,Stack ESC,50,60,4-8S,SimonK,DShot300,16x16,N/A,Heatsink,FPV,Cinematic FPV
ESC-0076,GEPRC,ESC,Electronic Speed Controller,Single ESC,20,25,4-8S,BLHeli_S,DShot600,30x30,5V 3A,Heatsink,FPV,Cinematic FPV
ESC-0077,iFlight,ESC,Electronic Speed Controller,Single ESC,55,60,6-12S,AM32,DShot300,30x30,5V 3A,Heatsink,FPV,Long Range FPV
ESC-0078,Skystars,ESC,Electronic Speed Controller,Industrial ESC,20,40,4-8S,BLHeli_32,DShot1200,16x16,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0079,GEPRC,ESC,Electronic Speed Controller,Single ESC,55,65,4-8S,BLHeli_32,DShot600,16x16,5V 5A,Heatsink,FPV,Long Range FPV
ESC-0080,TBS,ESC,Electronic Speed Controller,Single ESC,65,80,2-4S,BLHeli_32,DShot300,16x16,N/A,Passive,Industrial,Industrial UAV
ESC-0081,Diatone,ESC,Electronic Speed Controller,Single ESC,55,60,3-6S,BLHeli_S,DShot1200,16x16,10V 2A,Active Cooling,FPV,Cinematic FPV
ESC-0082,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,100,115,3-6S,BLHeli_32,DShot600,20x20,5V 2A,Heatsink,FPV,Racing FPV
ESC-0083,AxisFlying,ESC,Electronic Speed Controller,4-in-1 ESC,40,45,2-4S,SimonK,DShot1200,30x30,5V 2A,Passive,FPV,Cinematic FPV
ESC-0084,GEPRC,ESC,Electronic Speed Controller,4-in-1 ESC,60,70,6-12S,BLHeli_S,DShot1200,30x30,10V 2A,Active Cooling,FPV,Long Range FPV
ESC-0085,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,20,30,2-4S,SimonK,Oneshot125,20x20,10V 2A,Passive,FPV,Long Range FPV
ESC-0086,TBS,ESC,Electronic Speed Controller,Industrial ESC,50,70,4-8S,AM32,DShot1200,30x30,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0087,iFlight,ESC,Electronic Speed Controller,Single ESC,55,65,4-8S,BLHeli_32,Multishot,20x20,5V 5A,Passive,FPV,Freestyle FPV
ESC-0088,GEPRC,ESC,Electronic Speed Controller,4-in-1 ESC,40,60,3-6S,AM32,DShot600,30x30,N/A,Passive,FPV,Cinematic FPV
ESC-0089,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,35,40,2-4S,AM32,Oneshot125,16x16,5V 2A,Heatsink,FPV,Freestyle FPV
ESC-0090,Diatone,ESC,Electronic Speed Controller,Industrial ESC,60,65,2-4S,BLHeli_32,DShot1200,30x30,N/A,Passive,Industrial,Industrial UAV
ESC-0091,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,60,75,6-12S,BLHeli_32,DShot1200,30x30,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0092,HGLRC,ESC,Electronic Speed Controller,Single ESC,45,50,4-8S,BLHeli_32,DShot600,20x20,5V 5A,Passive,FPV,Cinematic FPV
ESC-0093,Foxeer,ESC,Electronic Speed Controller,Single ESC,40,50,3-6S,SimonK,DShot300,30x30,N/A,Heatsink,FPV,Freestyle FPV
ESC-0094,GEPRC,ESC,Electronic Speed Controller,4-in-1 ESC,40,55,4-8S,BLHeli_S,DShot300,20x20,5V 3A,Passive,FPV,Freestyle FPV
ESC-0095,TBS,ESC,Electronic Speed Controller,4-in-1 ESC,30,45,4-8S,BLHeli_S,Multishot,30x30,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0096,iFlight,ESC,Electronic Speed Controller,Single ESC,50,55,2-4S,BLHeli_S,DShot600,20x20,N/A,Active Cooling,FPV,Cinematic FPV
ESC-0097,Holybro,ESC,Electronic Speed Controller,Industrial ESC,65,70,6-12S,BLHeli_S,DShot300,16x16,5V 2A,Heatsink,FPV,Racing FPV
ESC-0098,TBS,ESC,Electronic Speed Controller,Stack ESC,50,60,3-6S,AM32,Multishot,30x30,5V 2A,Passive,FPV,Long Range FPV
ESC-0099,AxisFlying,ESC,Electronic Speed Controller,Single ESC,80,85,4-8S,AM32,DShot1200,20x20,5V 3A,Heatsink,Industrial,Industrial UAV
ESC-0100,HGLRC,ESC,Electronic Speed Controller,Industrial ESC,65,70,3-6S,BLHeli_S,Oneshot125,30x30,5V 5A,Active Cooling,FPV,Long Range FPV
ESC-0101,RushFPV,ESC,Electronic Speed Controller,Industrial ESC,45,60,3-6S,BLHeli_S,Multishot,30x30,N/A,Heatsink,Industrial,Industrial UAV
ESC-0102,iFlight,ESC,Electronic Speed Controller,Single ESC,100,105,2-4S,AM32,DShot600,16x16,5V 2A,Active Cooling,Industrial,Industrial UAV
ESC-0103,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,50,60,6-12S,AM32,DShot600,20x20,N/A,Passive,FPV,Racing FPV
ESC-0104,Foxeer,ESC,Electronic Speed Controller,Single ESC,50,65,2-4S,AM32,DShot1200,20x20,5V 5A,Heatsink,FPV,Long Range FPV
ESC-0105,HGLRC,ESC,Electronic Speed Controller,4-in-1 ESC,65,75,4-8S,BLHeli_S,Oneshot125,16x16,5V 5A,Active Cooling,FPV,Racing FPV
ESC-0106,Holybro,ESC,Electronic Speed Controller,Stack ESC,55,60,6-12S,SimonK,DShot1200,30x30,5V 3A,Heatsink,FPV,Racing FPV
ESC-0107,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,40,60,6-12S,SimonK,DShot1200,16x16,5V 5A,Heatsink,FPV,Racing FPV
ESC-0108,Hobbywing,ESC,Electronic Speed Controller,4-in-1 ESC,35,55,4-8S,BLHeli_S,DShot300,20x20,5V 5A,Passive,FPV,Cinematic FPV
ESC-0109,GEPRC,ESC,Electronic Speed Controller,Stack ESC,100,115,3-6S,BLHeli_S,DShot600,20x20,5V 3A,Active Cooling,Industrial,Industrial UAV
ESC-0110,Holybro,ESC,Electronic Speed Controller,Industrial ESC,50,70,4-8S,SimonK,DShot600,16x16,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0111,Diatone,ESC,Electronic Speed Controller,Industrial ESC,100,105,3-6S,BLHeli_32,Oneshot125,30x30,5V 3A,Active Cooling,FPV,Cinematic FPV
ESC-0112,Diatone,ESC,Electronic Speed Controller,4-in-1 ESC,55,60,3-6S,SimonK,Multishot,30x30,5V 3A,Passive,FPV,Cinematic FPV
ESC-0113,TBS,ESC,Electronic Speed Controller,Stack ESC,45,50,3-6S,AM32,Oneshot125,16x16,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0114,HGLRC,ESC,Electronic Speed Controller,Single ESC,55,75,2-4S,AM32,DShot1200,20x20,10V 2A,Passive,FPV,Freestyle FPV
ESC-0115,SpeedyBee,ESC,Electronic Speed Controller,Industrial ESC,40,50,6-12S,BLHeli_32,Oneshot125,16x16,5V 5A,Passive,FPV,Long Range FPV
ESC-0116,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,60,70,2-4S,BLHeli_32,DShot600,30x30,5V 2A,Active Cooling,FPV,Long Range FPV
ESC-0117,T-Motor,ESC,Electronic Speed Controller,4-in-1 ESC,65,80,3-6S,SimonK,DShot1200,16x16,5V 2A,Passive,Industrial,Industrial UAV
ESC-0118,Lumenier,ESC,Electronic Speed Controller,Stack ESC,55,60,6-12S,BLHeli_32,Oneshot125,16x16,5V 3A,Heatsink,Industrial,Industrial UAV
ESC-0119,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,40,45,4-8S,BLHeli_32,DShot600,30x30,10V 2A,Passive,FPV,Racing FPV
ESC-0120,Diatone,ESC,Electronic Speed Controller,Single ESC,30,40,2-4S,BLHeli_S,Multishot,16x16,5V 3A,Passive,Industrial,Industrial UAV
ESC-0121,T-Motor,ESC,Electronic Speed Controller,Single ESC,35,40,6-12S,BLHeli_S,DShot1200,30x30,N/A,Passive,FPV,Racing FPV
ESC-0122,Skystars,ESC,Electronic Speed Controller,Single ESC,20,30,2-4S,BLHeli_32,DShot1200,16x16,N/A,Passive,FPV,Cinematic FPV
ESC-0123,T-Motor,ESC,Electronic Speed Controller,Single ESC,35,45,4-8S,AM32,DShot600,30x30,5V 2A,Passive,FPV,Freestyle FPV
ESC-0124,GEPRC,ESC,Electronic Speed Controller,Industrial ESC,65,75,3-6S,BLHeli_32,DShot1200,30x30,5V 5A,Active Cooling,FPV,Freestyle FPV
ESC-0125,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,35,50,3-6S,SimonK,DShot1200,20x20,5V 5A,Passive,FPV,Racing FPV
ESC-0126,Skystars,ESC,Electronic Speed Controller,Industrial ESC,55,70,2-4S,BLHeli_32,DShot600,16x16,5V 3A,Passive,FPV,Racing FPV
ESC-0127,Aikon,ESC,Electronic Speed Controller,4-in-1 ESC,60,65,6-12S,AM32,Oneshot125,30x30,10V 2A,Passive,FPV,Freestyle FPV
ESC-0128,Holybro,ESC,Electronic Speed Controller,Industrial ESC,65,70,3-6S,BLHeli_32,DShot1200,20x20,5V 5A,Active Cooling,Industrial,Industrial UAV
ESC-0129,AxisFlying,ESC,Electronic Speed Controller,Stack ESC,80,100,3-6S,BLHeli_32,Multishot,20x20,5V 2A,Passive,FPV,Racing FPV
ESC-0130,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,100,105,4-8S,BLHeli_32,Oneshot125,16x16,N/A,Heatsink,Industrial,Industrial UAV
ESC-0131,Foxeer,ESC,Electronic Speed Controller,4-in-1 ESC,50,70,6-12S,BLHeli_S,DShot1200,30x30,N/A,Heatsink,FPV,Racing FPV
ESC-0132,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,55,75,6-12S,SimonK,DShot1200,30x30,5V 2A,Heatsink,FPV,Racing FPV
ESC-0133,Lumenier,ESC,Electronic Speed Controller,Industrial ESC,35,45,6-12S,BLHeli_32,DShot600,20x20,10V 2A,Passive,FPV,Long Range FPV
ESC-0134,AxisFlying,ESC,Electronic Speed Controller,Single ESC,30,45,4-8S,BLHeli_S,Multishot,16x16,5V 2A,Heatsink,FPV,Freestyle FPV
ESC-0135,Flywoo,ESC,Electronic Speed Controller,Single ESC,80,90,4-8S,AM32,DShot1200,16x16,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0136,SpeedyBee,ESC,Electronic Speed Controller,Single ESC,45,50,2-4S,AM32,Oneshot125,16x16,5V 2A,Heatsink,FPV,Freestyle FPV
ESC-0137,Hobbywing,ESC,Electronic Speed Controller,4-in-1 ESC,50,60,4-8S,AM32,DShot600,16x16,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0138,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,35,45,3-6S,SimonK,DShot600,30x30,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0139,Lumenier,ESC,Electronic Speed Controller,Single ESC,80,90,4-8S,AM32,DShot1200,20x20,N/A,Passive,FPV,Racing FPV
ESC-0140,Foxeer,ESC,Electronic Speed Controller,Single ESC,60,65,2-4S,BLHeli_S,DShot300,20x20,5V 5A,Heatsink,Industrial,Industrial UAV
ESC-0141,Flywoo,ESC,Electronic Speed Controller,Single ESC,30,50,4-8S,AM32,DShot600,30x30,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0142,SpeedyBee,ESC,Electronic Speed Controller,Single ESC,80,90,4-8S,BLHeli_S,DShot600,30x30,5V 3A,Passive,FPV,Cinematic FPV
ESC-0143,Skystars,ESC,Electronic Speed Controller,4-in-1 ESC,20,30,6-12S,SimonK,DShot300,20x20,5V 2A,Heatsink,FPV,Cinematic FPV
ESC-0144,GEPRC,ESC,Electronic Speed Controller,Stack ESC,100,115,3-6S,AM32,DShot300,30x30,5V 2A,Passive,FPV,Freestyle FPV
ESC-0145,Lumenier,ESC,Electronic Speed Controller,4-in-1 ESC,60,80,4-8S,SimonK,Oneshot125,30x30,5V 3A,Passive,FPV,Cinematic FPV
ESC-0146,iFlight,ESC,Electronic Speed Controller,Single ESC,100,110,6-12S,SimonK,DShot600,20x20,N/A,Active Cooling,Industrial,Industrial UAV
ESC-0147,Hobbywing,ESC,Electronic Speed Controller,Stack ESC,35,40,4-8S,AM32,Oneshot125,20x20,10V 2A,Active Cooling,FPV,Racing FPV
ESC-0148,Flywoo,ESC,Electronic Speed Controller,Single ESC,50,55,2-4S,SimonK,DShot600,30x30,5V 2A,Passive,FPV,Cinematic FPV
ESC-0149,Skystars,ESC,Electronic Speed Controller,Stack ESC,60,80,4-8S,AM32,DShot300,16x16,5V 2A,Passive,FPV,Long Range FPV
ESC-0150,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,35,55,2-4S,BLHeli_32,DShot300,20x20,5V 2A,Heatsink,FPV,Cinematic FPV
ESC-0151,T-Motor,ESC,Electronic Speed Controller,Industrial ESC,30,45,4-8S,BLHeli_S,DShot600,16x16,10V 2A,Heatsink,FPV,Freestyle FPV
ESC-0152,Diatone,ESC,Electronic Speed Controller,Stack ESC,30,50,2-4S,BLHeli_32,DShot600,16x16,5V 2A,Heatsink,FPV,Long Range FPV
ESC-0153,SpeedyBee,ESC,Electronic Speed Controller,4-in-1 ESC,65,85,4-8S,SimonK,Multishot,20x20,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0154,AxisFlying,ESC,Electronic Speed Controller,Industrial ESC,65,85,3-6S,AM32,DShot300,20x20,5V 5A,Active Cooling,FPV,Cinematic FPV
ESC-0155,Aikon,ESC,Electronic Speed Controller,Single ESC,20,30,2-4S,SimonK,DShot600,20x20,5V 2A,Active Cooling,FPV,Racing FPV
ESC-0156,TBS,ESC,Electronic Speed Controller,Single ESC,80,85,6-12S,SimonK,Multishot,20x20,5V 3A,Heatsink,FPV,Cinematic FPV
ESC-0157,Diatone,ESC,Electronic Speed Controller,Stack ESC,80,100,4-8S,AM32,DShot600,20x20,N/A,Active Cooling,FPV,Freestyle FPV
ESC-0158,HGLRC,ESC,Electronic Speed Controller,4-in-1 ESC,60,75,6-12S,SimonK,Oneshot125,16x16,5V 3A,Active Cooling,FPV,Long Range FPV
ESC-0159,Skystars,ESC,Electronic Speed Controller,Stack ESC,45,65,6-12S,BLHeli_32,DShot300,30x30,5V 3A,Passive,FPV,Long Range FPV
ESC-0160,Skystars,ESC,Electronic Speed Controller,Single ESC,100,120,6-12S,BLHeli_32,DShot1200,16x16,5V 3A,Active Cooling,FPV,Racing FPV
ESC-0161,Aikon,ESC,Electronic Speed Controller,Industrial ESC,40,55,2-4S,AM32,DShot300,20x20,5V 5A,Active Cooling,FPV,Freestyle FPV
ESC-0162,T-Motor,ESC,Electronic Speed Controller,Single ESC,50,55,4-8S,BLHeli_32,Multishot,16x16,N/A,Passive,FPV,Racing FPV
ESC-0163,Skystars,ESC,Electronic Speed Controller,Single ESC,35,50,6-12S,AM32,DShot1200,20x20,N/A,Heatsink,FPV,Freestyle FPV
ESC-0164,HGLRC,ESC,Electronic Speed Controller,4-in-1 ESC,60,75,2-4S,SimonK,Multishot,20x20,5V 3A,Passive,FPV,Long Range FPV
